domain,mean,sd,ci,lowerCI,upperCI
Demographic,0.05666175048596541,0.008229448014203231,0.0031041656971710807,0.05355758478879433,0.059765916183136494
Tests,0.9082115286193955,0.009530718114275001,0.0035950076103134477,0.9046165210090821,0.9118065362297089
Other,0.03512672089463904,0.005253577315927045,0.001981660794671874,0.033145060099967164,0.03710838168931091
